match,split,truth_start,truth_end,output_start,output_end,iou,start_error_frames,start_error_ms,end_error_frames,end_error_ms
ASG_vs_AA_2020,dev,23422,23969,23422,23969,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,24365,24709,24365,24709,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,25111,25269,25111,25269,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,25824,25924,25824,25924,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,26203,26432,26203,26432,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,27511,27661,27511,27661,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,28003,28503,28003,28503,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,29117,29260,29117,29260,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,29745,30155,29745,30155,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,30940,31074,30940,31074,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,31536,31703,31536,31703,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,32853,33238,32853,33238,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,33981,34193,33981,34193,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,35096,35551,35096,35551,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,36048,36245,36048,36245,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,37441,37792,37441,37792,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,38204,38470,38204,38470,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,38843,39041,38843,39041,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,39543,39685,39543,39685,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,40093,40445,40093,40445,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,42270,42396,42270,42396,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,42743,43345,42743,43345,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,44332,44589,44332,44589,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,45884,46191,45884,46191,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,46576,47166,46576,47166,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,47873,48061,47873,48061,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,48485,48949,48485,48949,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,49589,49700,49589,49700,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,51089,51590,51089,51590,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,52840,52981,52840,52981,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,53625,54006,53625,54006,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,55292,55429,55292,55429,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,56059,56245,56059,56245,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,56698,56811,56698,56811,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,58168,58311,58168,58311,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,59245,59978,59245,59978,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,61485,61659,61485,61659,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,62217,62609,62217,62609,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,66055,66509,66055,66509,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,67210,67362,67210,67362,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,67743,67865,67743,67865,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,68265,68466,68265,68466,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,68962,69392,68961,69392,0.9977,-1,-40.0,0,0.0
ASG_vs_AA_2020,dev,70630,70837,70630,70837,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,71168,71349,71168,71349,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,72352,72644,72352,72644,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,73255,73462,73255,73462,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,73914,74083,73914,74083,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,74556,75326,74556,75326,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,75890,76091,75890,76091,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,77011,77269,77011,77269,1.0,0,0.0,0,0.0
ASG_vs_AA_2020,dev,77912,78303,77912,78303,1.0,0,0.0,0,0.0
